emotion_id,nrc_term,perma_term,perma_category,perma_score
213,love,like,NEG_M,"0.0376909787
"
213,love,like,NEG_R,"0.0200554731
"
213,love,enjoy,NEG_P,"-0.1209153018
"
213,love,love,NEG_P,"-0.2761570439
"
213,love,like,NEG_P,"0.0233692776
"
213,love,enjoy,POS_M,"0.0466757731
"
213,love,love,POS_M,"0.2976263573
"
213,love,enjoy,POS_A,"0.0463274661
"
213,love,love,POS_A,"0.0850585866
"
213,love,enjoy,POS_E,"0.0865741811
"
213,love,love,POS_E,"0.1997039229
"
213,love,like,POS_E,"-0.0380312017
"
214,confuse,trouble,NEG_M,"0.0455543114
"
214,confuse,trouble,NEG_R,"0.0334141783
"
214,confuse,trouble,NEG_P,"0.1043205038
"
216,common,fair,NEG_R,"0.0640555427
"
217,animation,life,NEG_A,"0.046837399
"
217,animation,life,POS_R,"0.1583016163
"
217,animation,life,POS_P,"0.2592157462
"
217,animation,life,NEG_M,"0.0189889303
"
217,animation,life,NEG_R,"-0.0349107328
"
217,animation,life,POS_M,"0.5064111841
"
217,animation,life,POS_A,"0.1784083197
"
217,animation,life,POS_E,"0.1114116536
"
220,product,product,POS_A,"0.0369862547
"
221,act,act,NEG_R,"0.0866394492
"
221,act,act,NEG_P,"0.0490320662
"
222,man,man,POS_R,"0.0406244652
"
222,man,courage,POS_R,"0.077706558
"
222,man,man,NEG_P,"0.0375623198
"
222,man,man,POS_M,"0.0277554291
"
222,man,courage,POS_M,"0.0539105054
"
222,man,man,POS_A,"0.0334735324
"
226,fell,upset,NEG_A,"0.0301618903
"
226,fell,upset,NEG_M,"0.0844876587
"
226,fell,upset,NEG_R,"0.1030239597
"
226,fell,upset,NEG_P,"0.0942564899
"
226,fell,level,POS_M,"0.0461162714
"
229,game,game,POS_P,"0.1635840192
"
229,game,game,NEG_M,"-0.0785498255
"
229,game,game,POS_A,"0.0276069266
"
229,game,game,POS_E,"0.2026791742
"
230,suggestion,memory,POS_R,"0.0368291485
"
233,interruption,opening,POS_E,"0.0648984281
"
237,trash,waste,NEG_P,"0.014632981
"
239,riot,row,POS_A,"0.0171858197
"
239,riot,row,POS_E,"0.0240593538
"
242,partisan,arms,POS_M,"-0.0149192325
"
244,preservation,support,POS_R,"0.0169529377
"
244,preservation,support,POS_M,"0.0171355201
"
244,preservation,support,POS_E,"0.0380842558
"
245,probe,test,NEG_A,"0.1211729982
"
245,probe,test,POS_P,"-0.0871885391
"
247,separation,opening,POS_E,"0.0648984281
"
248,float,plane,POS_M,"0.0250697524
"
248,float,plane,POS_A,"0.0238788663
"
251,lot,luck,POS_R,"0.0393393629
"
251,lot,luck,POS_P,"0.099060478
"
251,lot,lot,NEG_P,"0.0145802163
"
251,lot,luck,POS_M,"0.0373417991
"
251,lot,luck,POS_A,"0.0198569177
"
251,lot,lot,POS_E,"-0.0302274054
"
252,footing,situation,POS_M,"0.0491258253
"
252,footing,situation,POS_A,"0.0522003324
"
252,footing,standing,POS_E,"0.0547888738
"
253,negative,negative,NEG_A,"0.0276928982
"
253,negative,negative,NEG_R,"0.0505429234
"
254,fool,idiot,NEG_A,"0.0836328476
"
254,fool,asshole,NEG_R,"0.1583587552
"
254,fool,idiot,NEG_R,"0.0816825913
"
254,fool,asshole,NEG_P,"0.081964475
"
254,fool,idiot,NEG_P,"0.080072938
"
255,quiver,feeling,NEG_E,"0.0675330258
"
255,quiver,feeling,NEG_A,"0.0910993585
"
255,quiver,feeling,POS_P,"0.1171106564
"
255,quiver,feeling,NEG_M,"0.0195626766
"
255,quiver,feeling,NEG_R,"0.0133228874
"
255,quiver,feeling,NEG_P,"0.0715914137
"
255,quiver,feeling,POS_M,"0.1569493039
"
255,quiver,feeling,POS_A,"0.1097948729
"
255,quiver,feeling,POS_E,"0.033544923
"
256,divine,holy,POS_P,"0.025617151
"
256,divine,holy,POS_M,"0.0404445107
"
256,divine,almighty,POS_M,"0.0280040778
"
256,divine,holy,POS_E,"0.0675415814
"
257,normal,normal,NEG_E,"0.0508741623
"
258,chase,course,POS_M,"0.0564477495
"
258,chase,course,POS_A,"0.1074854196
"
258,chase,course,POS_E,"0.0912885497
"
260,end,end,NEG_A,"0.0339956244
"
260,end,end,POS_R,"-0.0378886905
"
260,end,end,NEG_R,"-0.0339260538
"
260,end,end,POS_M,"0.0158461207
"
260,end,effect,POS_M,"0.0360248391
"
260,end,end,POS_A,"-0.0290420347
"
260,end,end,POS_E,"-0.0696739553
"
262,growth,growth,POS_M,"0.0415841208
"
263,clan,nation,POS_M,"0.0361485561
"
265,heart,heart,POS_R,"-0.0718585202
"
265,heart,heart,NEG_M,"0.0770865962
"
265,heart,heart,NEG_R,"0.0706745227
"
265,heart,heart,NEG_P,"0.0991340444
"
265,heart,heart,POS_M,"0.028820179
"
265,heart,heart,POS_E,"-0.0136410484
"
267,note,memory,POS_R,"0.0368291485
"
267,note,note,NEG_P,"0.0532352696
"
272,set,lot,NEG_P,"0.0145802163
"
272,set,lot,POS_E,"-0.0302274054
"
274,fanaticism,feeling,NEG_E,"0.0675330258
"
274,fanaticism,feeling,NEG_A,"0.0910993585
"
274,fanaticism,feeling,POS_P,"0.1171106564
"
274,fanaticism,feeling,NEG_M,"0.0195626766
"
274,fanaticism,feeling,NEG_R,"0.0133228874
"
274,fanaticism,feeling,NEG_P,"0.0715914137
"
274,fanaticism,feeling,POS_M,"0.1569493039
"
274,fanaticism,feeling,POS_A,"0.1097948729
"
274,fanaticism,feeling,POS_E,"0.033544923
"
276,start,begin,POS_M,"-0.046797168
"
276,start,start,POS_M,"0.0164336635
"
276,start,beginning,POS_M,"0.0493645984
"
276,start,start,POS_A,"0.1054957893
"
276,start,start,POS_E,"0.0813748986
"
277,irregular,funny,POS_P,"0.1454124732
"
278,faithful,faithful,POS_M,"0.0216810302
"
280,spark,light,POS_M,"0.1013298334
"
281,shoot,hang,NEG_R,"0.0629798301
"
283,lower,cast,POS_M,"0.018797654
"
287,place,point,NEG_E,"0.0558792405
"
287,place,point,NEG_R,"0.0747210988
"
287,place,place,POS_M,"0.1214164711
"
287,place,place,POS_E,"0.0202383825
"
288,cement,paste,NEG_A,"0.0138564086
"
288,cement,paste,NEG_M,"0.0131355301
"
289,walk,walk,NEG_R,"-0.0380647081
"
289,walk,walk,NEG_P,"-0.0460276432
"
289,walk,course,POS_M,"0.0564477495
"
289,walk,walk,POS_M,"0.0422389984
"
289,walk,course,POS_A,"0.1074854196
"
289,walk,course,POS_E,"0.0912885497
"
289,walk,walk,POS_E,"0.026981625
"
293,stuff,stuff,POS_M,"-0.0185159333
"
